name,lat,lon,address,postcode,risk
MANKE FRUIT & VEGETABLES,43.680171,-79.33978,886 DANFORTH AVE,M4J 1L7,0
MARCHE ISTANBUL,43.718385,-79.455836,3220 DUFFERIN ST,M6A 2T3,0
MARCHELEO'S SUPERMARKET,43.707748,-79.391915,181 EGLINTON AVE E,M4P 1J4,1
MARHABA SUPERMARKET,43.65976,-79.36611,324 PARLIAMENT ST,M5A 2Z7,1
MARIO AND SELINA'S NO FRILLS,43.612259,-79.49787,220 ROYAL YORK RD,M8V 2V7,0
MARKETPLACE,43.645737,-79.38715,200 WELLINGTON ST W,M5V 3C7,1
MARKHAM DANFORTH FOOD MARKET,43.761452,-79.224178,651 MARKHAM RD,M1H 2A4,1
MASELLIS SUPERMARKET,43.680387,-79.339089,906 DANFORTH AVE,M4J 1L9,1
MASHALA YOUSAF HALAL MEAT & GROCERY,43.761981,-79.225019,683 MARKHAM RD,M1H 2A4,1
MAX'S MARKET,43.650235,-79.479166,2299 BLOOR ST W,M6S 1P1,2
MCEWAN ENTERPRISES,43.736432,-79.345245,38 KARL FRASER RD,M3C 0H7,1
MEDITERRANEAN FOOD STORE,43.660538,-79.43287,1062 BLOOR ST W,M6H 1M3,1
MENALON BAKERY,43.680413,-79.430699,811 ST CLAIR AVE W,M6C 1B9,0
METRO,43.708547,-79.477778,1411 LAWRENCE AVE W,M6L 1A4,1
METRO,43.660616,-79.384035,444 YONGE ST,M5B 2H4,2
METRO,43.756535,-79.313549,15 ELLESMERE RD,M1R 4B7,1
METRO,43.733898,-79.343749,1050 DON MILLS RD,M3C 1W6,1
METRO,43.670355,-79.473533,2155 ST CLAIR AVE W,M6N 1K5,2
METRO,43.639584,-79.417274,100 LYNN WILLIAMS ST,M6K 3N6,1
METRO,43.691631,-79.531848,1500 ROYAL YORK RD,M9P 3B6,1
METRO,43.67519,-79.555494,201 LLOYD MANOR RD,M9B 6H6,1
METRO,43.798555,-79.318367,2900 WARDEN AVE,M1W 2S8,0
METRO,43.728035,-79.481305,1090 WILSON AVE,M3K 1G6,1
METRO,43.774231,-79.413159,20 CHURCH AVE,M2N 0B7,2
METRO,43.707158,-79.399084,2300 YONGE ST,M4P 1E4,2
METRO,43.632793,-79.55468,250 THE EAST MALL,M9B 3Y8,1
METRO,43.726829,-79.403107,3142 YONGE ST,M4N 2K6,1
METRO,43.724313,-79.29838,40 EGLINTON SQ,M1L 2K1,1
METRO,43.755569,-79.439733,600 SHEPPARD AVE W,M3H 2S1,2
METRO,43.719407,-79.430212,3090 BATHURST ST,M6A 2A1,1
METRO,43.788508,-79.139455,261 PORT UNION RD,M1C 2L3,2
METRO,43.666252,-79.40498,425 BLOOR ST W,M5S 1X6,2
